Specie,Identificativo Pianta,Massa Chioma (g),Massa Fusto (g),Massa Rami (g),Massa Radici (g),Massa Totale (g),Altitudine,Diametro (mm),Altezza (cm),Ramo più lungo (cm),Età,Numero di rami,Lunghezza radice più lunga (cm),Quota (m),Morfologia terreno,Uso del suolo,Esposizione,Distanza albero più vicino (m),Direzione albero più vicino (m),Distanza semenzale più vicino (cm),Tipo di suolo,Profondità apparato radicale (cm)
"Larix decidua",11,4.51999998e+00,9.55000019e+00,9.65999985e+00,1.12500000e+01,3.49799995e+01,1500,1.30000000e+01,3.90000000e+01,2.10000000e+01,9,23,2.50000000e+01,1345,"Pendio","Frana","S-E",1.00000000e+01,"N",3.00000012e-01,"Regosol",2.00000000e+01
"Larix decidua",12,4.29099998e+01,8.83099976e+01,7.09100037e+01,1.19344658e+02,3.21474670e+02,1500,1.60000000e+01,1.32000000e+02,5.40000000e+01,20,51,1.60000000e+02,1730,"Pendio","Bordo strada","N",1.50000000e+00,"S",2.00000003e-01,"Regosol",3.50000000e+01
"Larix decidua",13,3.45000005e+00,5.98999977e+00,3.80999994e+00,4.91250896e+00,1.81625080e+01,1500,9.80000019e+00,4.70000000e+01,2.60000000e+01,20,27,3.00000000e+01,1710,"Pendio","Bosco rado d'alta quota","N-E",4.00000000e+00,"S",1.00000000e+00,"Regosol",5.00000000e+00
"Larix decidua",14,1.42200003e+01,3.84000015e+01,3.66699982e+01,3.45739288e+01,1.23863930e+02,1500,1.88999996e+01,8.40000000e+01,4.20000000e+01,25,31,3.00000000e+01,1710,"Conca","Bosco rado d'alta quota","N-E",4.00000000e+00,"S-E",1.00000000e+00,"Regosol",3.00000000e+01
"Larix decidua",15,2.54500008e+01,3.40499992e+01,3.40999985e+01,3.26309280e+01,1.26230927e+02,1500,1.93999996e+01,9.00000000e+01,4.60000000e+01,20,40,7.00000000e+01,1730,"Pendio","Bosco rado d'alta quota","E",7.00000000e+00,"S",2.00000003e-01,"Regosol",5.00000000e+01
"Larix decidua",16,1.69500008e+01,3.15499992e+01,3.73100014e+01,4.86099396e+01,1.34419937e+02,1500,1.53000002e+01,7.00000000e+01,4.00000000e+01,22,32,1.90000000e+02,1710,"Pendio","Bosco rado d'alta quota","N-E",2.50000000e+00,"N-E",2.00000000e+00,"Regosol",1.50000000e+01
"Larix decidua",17,1.39999998e+00,6.89999998e-01,5.69999993e-01,1.59571052e+00,4.25571060e+00,1500,5.50000000e+00,2.10000000e+01,2.00000000e+00,6,11,1.10000000e+01,1730,"Dosso","Bosco rado d'alta quota","N-E",4.00000000e+00,"S",2.00000000e+00,"Regosol",5.00000000e+00
"Larix decidua",41,5.97200012e+01,1.58380005e+02,1.27440002e+02,1.42581055e+02,4.88121063e+02,1500,3.00000000e+01,1.80000000e+02,7.00000000e+01,20,52,1.48000000e+02,1380,"Pendio","Bordo strada","N",8.00000000e+00,"S-O",2.00000003e-01,"Cambisol",2.80000000e+01
"Larix decidua",42,7.89599991e+01,2.10250000e+02,1.61940002e+02,2.58929962e+02,7.10079956e+02,1500,3.37000008e+01,1.47000000e+02,7.00000000e+01,23,31,1.80000000e+02,1590,"Pendio","Bordo strada","E",4.00000000e+00,"S-O",4.00000006e-01,"Cambisol",6.00000000e+01
"Larix decidua",43,5.38699989e+01,1.44850006e+02,1.20610001e+02,8.03979568e+01,3.99727966e+02,1500,3.15000000e+01,1.39000000e+02,6.00000000e+01,21,53,1.80000000e+02,1725,"Pianoro","Bosco rado d'alta quota","E",5.00000000e+00,"S",2.00000003e-01,"Regosol",6.00000000e+01
"Larix decidua",44,1.13999999e+00,9.39999998e-01,1.25000000e+00,1.12660062e+00,4.45660067e+00,1500,5.00000000e+00,2.50000000e+01,1.90000000e+01,10,8,1.00000000e+01,1725,"Pianoro","Bosco rado d'alta quota","E",5.00000000e+00,"S",2.00000003e-01,"Regosol",1.00000000e+01
"Larix decidua",45,4.60000008e-01,6.89999998e-01,6.29999995e-01,5.89703262e-01,2.36970329e+00,1500,4.00000000e+00,2.30000000e+01,1.70000000e+01,10,10,1.00000000e+01,1725,"Pianoro","Bosco rado d'alta quota","E",5.00000000e+00,"S",2.00000003e-01,"Regosol",1.00000000e+01
"Larix decidua",46,5.00000007e-02,1.00000001e-01,3.99999991e-02,7.00000003e-02,2.59999990e-01,1500,2.20000005e+00,1.30000000e+01,5.00000000e+00,9,9,5.00000000e+00,1725,"Pianoro","Bosco rado d'alta quota","E",5.00000000e+00,"S",2.00000003e-01,"Regosol",5.00000000e+00
"Pinus cembra",1,2.37799988e+01,6.83999939e+01,1.52399998e+01,1.23970001e+02,2.31389999e+02,1700,1.91000004e+01,9.70000000e+01,2.40000000e+01,41,16,1.00000000e+02,1470,"Pendio","Bordo strada","N-E",2.50000000e+00,"O",1.00000001e-01,"Phaeozem",2.00000000e+01
"Pinus cembra",2,1.27129997e+02,4.19789978e+02,1.51139999e+02,2.95741730e+02,9.93801697e+02,1700,3.42000008e+01,1.77000000e+02,6.50000000e+01,26,36,1.80000000e+02,1520,"Pendio","Bordo strada","N-E",3.00000000e+00,"S-O",2.00000003e-01,"Cambisol",3.50000000e+01
"Pinus cembra",3,2.11800003e+01,5.36000023e+01,2.31000023e+01,4.15293427e+01,1.39409348e+02,1700,1.68999996e+01,9.00000000e+01,4.40000000e+01,33,20,1.44000000e+02,1520,"Pendio","Bordo strada","N-E",4.50000000e+00,"S-O",1.00000001e-01,"Cambisol",2.00000000e+01
"Pinus cembra",4,8.63600006e+01,2.82920013e+02,1.00419998e+02,2.68100006e+02,7.37799988e+02,1700,2.98999996e+01,1.61000000e+02,4.30000000e+01,72,41,2.83000000e+02,1520,"Pendio","Bordo strada","N-E",4.50000000e+00,"S-O",1.00000001e-01,"Cambisol",2.50000000e+01
"Pinus cembra",5,2.49599991e+01,7.40799942e+01,1.87099991e+01,5.79667320e+01,1.75716721e+02,1700,1.92999992e+01,1.24000000e+02,1.70000000e+01,33,21,9.00000000e+01,1520,"Pendio","Bordo strada","N-E",4.50000000e+00,"S-O",1.00000001e-01,"Cambisol",2.00000000e+01
"Pinus cembra",6,6.87900009e+01,9.65299988e+01,5.89599991e+01,9.76058197e+01,3.21885803e+02,1700,1.91000004e+01,9.70000000e+01,5.50000000e+01,36,20,5.30000000e+01,1690,"Pendio","Bosco rado d'alta quota","N-O",3.00000000e+00,"N-E",1.00000000e+00,"Cambisol",2.00000000e+01
"Pinus cembra",7,1.49500008e+01,5.02299995e+01,9.19000053e+00,2.59823475e+01,1.00352348e+02,1700,1.40000000e+01,8.90000000e+01,3.20000000e+01,30,11,2.50000000e+01,1690,"Pendio","Bosco rado d'alta quota","N-O",3.00000000e+00,"N-E",1.00000000e+00,"Cambisol",2.00000000e+01
"Pinus cembra",8,7.10000000e+01,1.92250000e+02,5.74899979e+01,1.70350403e+02,4.91090393e+02,1700,2.83999996e+01,1.22000000e+02,4.30000000e+01,21,25,1.60000000e+02,1690,"Pendio","Bosco rado d'alta quota","N-E",4.00000000e+00,"N",2.00000003e-01,"Cambisol",2.00000000e+01
"Pinus cembra",9,2.30299988e+01,3.76600037e+01,1.84899998e+01,3.01500015e+01,1.09330002e+02,1700,1.62000008e+01,6.40000000e+01,3.60000000e+01,39,11,1.44000000e+02,1680,"Dosso","Bosco rado d'alta quota","N",2.50000000e+00,"N-O",5.00000000e-01,"Regosol",2.00000000e+01
"Pinus cembra",10,1.87299995e+01,7.29600067e+01,2.07900009e+01,5.07261391e+01,1.63206146e+02,1700,2.12000008e+01,8.70000000e+01,3.20000000e+01,23,20,1.35000000e+02,1670,"Pendio","Bordo strada","N-E",2.00000000e+00,"N-E",2.00000003e-01,"Cambisol",2.00000000e+01
"Pinus cembra",47,4.02020020e+02,1.25181006e+03,4.19500000e+02,5.85604309e+02,2.65893433e+03,1700,5.07999992e+01,2.90000000e+02,6.30000000e+01,39,76,3.90000000e+02,1640,"Pendio","Bosco rado d'alta quota","S-E",3.00000000e+00,"S-O",3.00000012e-01,"Leptosol",3.00000000e+01
